"AFS_NAME","species","NAME","FUS_NAME"
"CATFISHES & BULLHEADS","0661","Catfish and Bullheads","Catfish & bullheads"
"CATFISH, BLUE","0662","Catfish,blue","Catfish & bullheads"
"CATFISH, CHANNEL","0663","Catfish,channel","Catfish & bullheads"
"CATFISH, FLATHEAD","0664","Catfish,flathead","Catfish & bullheads"
"BULLHEAD, BROWN","0665","Bullhead,Brown","Catfish & bullheads"
"ARCTIC CHAR","0701","Char,Arctic","Other freshwater finfishes"
"CHUBS","0720","Chub/Cisco","Chubs (freshwater)"
"SCADS","0750","Scads","Other marine finfishes"
"HERRING, LAKE OR CISCO","0780","Lake cisco","Other freshwater finfishes"
"COD, ATLANTIC","0810","Cod,At,Whale","Cod, Atlantic"
"COD, ATLANTIC","0811","Cod,At,Lg","Cod, Atlantic"
"COD, ATLANTIC","0811","Cod,At,Lg","Cod, Atlantic"
"COD, ATLANTIC","0813","Cod,At,Mkt","Cod, Atlantic"
"COD, ATLANTIC","0814","Cod,At,Scrod","Cod, Atlantic"
"COD, ATLANTIC","0814","Cod,At,Scrod","Cod, Atlantic"
"COD, ATLANTIC","0819",,
"COD, ATLANTIC","0820","Cod,At,Unc","Cod, Atlantic"
"COD, ATLANTIC","0820","Cod,At,Unc","Cod, Atlantic"
"COD, PACIFIC","0822","Cod,Pa,Unc","Cod, Pacific"
"CRAPPIE","0840","Crappie","Other freshwater finfishes"
"JACK, CREVALLE","0870","Crevalle","Crevalle jack"
"CROAKER, ATLANTIC","0900","Croaker,At,Lg","Croaker, Atlantic"
"CROAKER, ATLANTIC","0915","Croaker,At,Md","Croaker, Atlantic"
"CROAKER, ATLANTIC","0920","Croaker,At,,Sm","Croaker, Atlantic"
"CROAKER, ATLANTIC","0925","Croaker,At,Unc","Croaker, Atlantic"
"CROAKER, PACIFIC WHITE","0926","Croaker,Pa,White","Croaker, Pacific (white)"
"CORBINA, CALIFORNIA","0928","Corbina,Cal.","Other marine finfishes"
"CUNNER","0930","Cunner","Other marine finfishes"
"DRUMS","0931","Drums","Other marine finfishes"
"TOTOABA","0932","Totoaba","Other marine finfishes"
"CORVINA, SHORTFIN","0933","Croaker,Shortfin","Other marine finfishes"
"CROAKER, YELLOWFIN","0934","Croaker,Yellowfin","Other marine finfishes"
"CROAKER, BLACK","0935","Croaker,Black","Other marine finfishes"
"CROAKER, SPOTFIN","0936","Croaker,Spotfin","Other marine finfishes"
"CUSK","0960","Cusk","Cusk"
"DEALFISH","0985","Dealfish (ribbonfish)","Other marine finfishes"
"CUTLASSFISH, ATLANTIC","0990","Cutlassfish,Atlantic","Other marine finfishes"
"TROUT, CUTTHROAT","1000","Cutthroat Trout","Other freshwater finfishes"
"DOLLY VARDEN","1020","Dolly Varden Trout","Other freshwater finfishes"
"DOLPHINFISH","1050","Dolphinfish","Dolphinfish"
"DRUM, BLACK","1081","Drum,Black","Other marine finfishes"
"DRUM, RED","1082","Drum,Red","Other marine finfishes"
"PRICKLEBACK, MONKEYFACE","1135","Prickelback,Monkeyface","Other marine finfishes"
"EELS, CONGER","1136","Eels,Conger","Other marine finfishes"
"EELS, SNAKE","1137","Eels,Snake","Other marine finfishes"
"CUSK-EELS","1138","Eels,Cusk","Other marine finfishes"
"MORAY, CALIFORNIA","1139","Eel,Moray,California","Other marine finfishes"
"EELS","1140","Eels,Unc","Other marine finfishes"
"EEL, AMERICAN","1141","Eels,Common","Eel, American"
"EEL, AMERICAN","1141","Eels,Common","Eel, American"
"EEL, AMERICAN","1141","Eels,Common","Eel, American"
"EEL, AMERICAN","1141","Eels,Common","Eel, American"
"EEL, CONGER","1142","Eels,Conger","Other marine finfishes"
"EEL, MORAYS","1143","Eels,Moray","Other marine finfishes"
"BROTULA, BEARDED","1144","Bearded,Brotula","Other marine finfishes"
"AUSTRALIAN ROCKLING","1180","Filefish","Other marine finfishes"
"FLATFISH","1190","Flatfish, N.e.i.","Other marine finfishes"
"FLOUNDER, WINTER","1199","Flounder,At,Blackback,Unc (winter)","Flounder, Winter (blackback)"
"FLOUNDER, WINTER","1200","Flounder,At,Blackback,Lg (winter)","Flounder, Winter (blackback)"
"FLOUNDER, WINTER","1200","Flounder,At,Blackback,Lg (winter)","Flounder, Winter (blackback)"
"FLOUNDER, WINTER","1200","Flounder,At,Blackback,Lg (winter)","Flounder, Winter (blackback)"
"FLOUNDER, WINTER","1201","Flounder,At,Blackback,Md (winter)","Flounder, Winter (blackback)"
"FLOUNDER, WINTER","1202","Flounder,At,Blackback,Sm (winter)","Flounder, Winter (blackback)"
"FLOUNDER, WINTER","1202","Flounder,At,Blackback,Sm (winter)","Flounder, Winter (blackback)"
"FLOUNDER,ATLANTIC,PLAICE","1203","Flounder,At,Dab,Sea,Lg  (plaice)","Flounder, American Plaice (dab)"
"FLOUNDER,ATLANTIC,PLAICE","1203","Flounder,At,Dab,Sea,Lg  (plaice)","Flounder, American Plaice (dab)"
"FLOUNDER,ATLANTIC,PLAICE","1204","Flounder,At,Dab,Sea,Sm  (plaice)","Flounder, American Plaice (dab)"
"FLOUNDER,ATLANTIC,PLAICE","1204","Flounder,At,Dab,Sea,Sm  (plaice)","Flounder, American Plaice (dab)"
"FLOUNDER,ATLANTIC,PLAICE","1205","Flounder,At,Dab,Sea,Unc (plaice)","Flounder, American Plaice (dab)"
"FLOUNDER,ATLANTIC,PLAICE","1206","Flounder,At,Dab,Sea,Md  (plaice)","Flounder, American Plaice (dab)"
"FLOUNDER, SUMMER","1208","Flounder,At,Fluke,Jumbo","Flounder, Summer (fluke)"
"FLOUNDER, FLUKES","1209","Flounder, At,Fluke,Unc.","Flounder, Atlantic/Gulf, other"
"FLOUNDER, SUMMER","1210","Flounder,At,Fluke,Lg (summer)","Flounder, Summer (fluke)"
"FLOUNDER, SUMMER","1211","Flounder,At,Fke,Unc (summer)","Flounder, Summer (fluke)"
"FLOUNDER, SUMMER","1212","Flounder,At,Fluke,Md (summer)","Flounder, Summer (fluke)"
"FLOUNDER, SUMMER","1214","Flounder,At,Fluke,Sm (summer)","Flounder, Summer (fluke)"
"FLOUNDER, SUMMER","1214","Flounder,At,Fluke,Sm (summer)","Flounder, Summer (fluke)"
"FLOUNDER, WITCH","1215","Flounder,At,Gray Sole,Unc","Flounder, Sole, Witch (gray)"
"FLOUNDER, WITCH","1216","Flounder,At,Gray Sole,Lg","Flounder, Sole, Witch (gray)"
"FLOUNDER, WITCH","1217","Flounder,At,Gray Sole,Sm","Flounder, Sole, Witch (gray)"
"FLOUNDER, WITCH","1217","Flounder,At,Gray Sole,Sm","Flounder, Sole, Witch (gray)"
"FLOUNDER, WITCH","1218","Flounder,At,Gray Sole,Jumbo","Flounder, Sole, Witch (gray)"
"FLOUNDER, WITCH","1219","Flounder,At,Gray Sole,Med","Flounder, Sole, Witch (gray)"
"FLOUNDER, WINTER","1220","Flounder,At,Lemon Sole","Flounder, Winter (blackback)"
"FLOUNDER, WINDOWPANE","1223","Flounder,At,Sand,Lg (windowpane)","Flounder, Atlantic/Gulf, other"
"FLOUNDER, WINDOWPANE","1224","Flounder,At,Sand,Sm (windowpane)","Flounder, Atlantic/Gulf, other"
"FLOUNDER, WINDOWPANE","1225","Flounder,At,Sand (windowpane)","Flounder, Atlantic/Gulf, other"
"FLOUNDER, YELLOWTAIL","1228","Flounder,At,Yellowtail,Lg","Flounder, Yellowtail"
"FLOUNDER, YELLOWTAIL","1229","Flounder,At,Yellowtail,Sm","Flounder, Yellowtail"
"FLOUNDER, YELLOWTAIL","1230","Flounder,At,Yellowtail,Unc","Flounder, Yellowtail"
"FLOUNDER, YELLOWTAIL","1233","Flounder,At,Yellowtail,Med","Flounder, Yellowtail"
"FLOUNDER, FOURSPOT","1234","Flounder,Fourspot","Flounder, Atlantic/Gulf, other"
"FLATFISH","1235","Flounder,At & Gf,Unc","Flounder, Atlantic/Gulf, other"
"FLOUNDER, ARROWTOOTH","1250","Flounder,Pa,Arrowtooth","Flounder, Arrowtooth"
"HALIBUT, CALIFORNIA","1255","Flounder,Pa,Cal.halibut","Flounder, Pacific, other"
"FLOUNDER, PACIFIC, SANDDAB","1260","Flounder,Pa,Sanddab","Flounder, Pacific, other"
"FLOUNDER,PACIFIC,SANDDAB","1261","Flounder,Pa,Sanddab","Flounder, Pacific, other"
"FLOUNDER,PACIFIC,SANDDAB,SPECKLE","1262","Flounder,Pa,Sanddab,Speckled","Flounder, Pacific, other"
"FLOUNDER,PACIFIC,SANDDAB,LONGFIN","1263","Flounder,Pa,Sanddab,Longfin","Flounder, Pacific, other"
"SOLE, DOVER","1265","Flounder,Pa,Dover Sole","Flounder, Sole, Dover"
"SOLE, ENGLISH","1270","Flounder,Pa,English Sole","Flounder, Pacific, other"
"SOLE, FLATHEAD","1272","Flounder,Pa,Flathead Sole","Flounder, Sole, Flathead"
"SOLE, FANTAIL","1274","Flounder,Pa,Fantail Sole","Flounder, Pacific, other"
"SOLE, PETRALE","1275","Flounder,Pa,Petrale Sole","Flounder, Sole, Petrale"
"SOLE, DEEPSEA","1277",,
"SOLE, REX","1280","Flounder,Pa,Rex Sole","Flounder, Pacific, other"
"SOLE, ROCK","1282","Flounder,Pa,Rock Sole","Flounder, Sole, Rock"
"SOLE, SAND","1285","Flounder,Pa,Sand Sole","Flounder, Pacific, other"
"SOLE, YELLOWFIN","1287","Flounder,Pa,Yellowfin Sole","Flounder, Sole, Yellowfin"
"FLOUNDER, STARRY","1289","Flounder,Pa,Starry","Flounder, Pacific, other"
"SOLES","1290","Flounder,Pa,Unc Sole","Flounder, Pacific, other"
"SOLE, BIGMOUTH","1291","Flounder,Pa,Sole,Bigmouth","Flounder, Pacific, other"
"SOLE, BUTTER","1292","Flounder,Pa,Sole,Butter","Flounder, Pacific, other"
"SOLE, SLENDER","1293","Flounder,Pa,Sole,Slender","Flounder, Pacific, other"
"SOLE, C-O","1294","Flounder,Pa,Sole,C-O","Flounder, Pacific, other"
"FLATFISH","1295","Flounder,Pa,Unc","Flounder, Pacific, other"
"TONGUEFISH, CALIFORNIA","1296","Tonguefish,Cal.","Flounder, Pacific, other"
"SOLE, CURLFIN","1297","Sole,Curlfin","Flounder, Pacific, other"
"FLYINGFISHES","1310","Flyingfishes","Other marine finfishes"
"MACKEREL, FRIGATE","1320","Frigate Mackerel","Other marine finfishes"
"GARS","1330","Garfishes(Fw)","Other freshwater finfishes"
"SHAD, GIZZARD","1340","Gizzard Shad","Other freshwater finfishes"
"GOATFISHES","1350","Goatfishes","Other marine finfishes"
"GOLDFISH","1360","Goldfish","Other freshwater finfishes"
"GREENLINGS","1370",,
"GRENADIERS","1380","Grenadiers","Other marine finfishes"
"HOKI","1390",,
"GROUNDFISH (PROCESSED PRODUCTS ONLY)","1400","Groundfish (Proc. Prod.)","Other marine finfishes"
"GROUPERS","1410","Groupers","Groupers"
"HIND, SPECKLED","1411","Hind,Speckled","Groupers"
"HIND, ROCK","1412","Hind,Rock","Groupers"
"HIND, RED","1413","Hind,Red","Groupers"
"GROUPER, SNOWY","1414","Grouper,Snowy","Groupers"
"GROUPER, YELLOWEDGE","1415","Grouper,Yellowedge","Groupers"
"GROUPER, RED","1416","Grouper,Red","Groupers"
"GROUPER, MARBLED","1417","Grouper,Marbled","Groupers"
"GROUPER, BROOMTAIL","1418","Grouper,Broomtail","Groupers"
"GROUPER, TIGER","1419","Grouper,Tiger","Groupers"
"GROUPER, MISTY","1420","Grouper,Misty","Groupers"
"GROUPER, BLACK","1422","Grouper,Black","Groupers"
"GAG","1423","Grouper,Gag","Groupers"
"SCAMP","1424","Scamp","Groupers"
"GROUPER, YELLOWMOUTH","1425","Grouper,Yellowmouth","Groupers"
"GROUPER, YELLOWFIN","1426","Grouper,Yellowfin","Groupers"
"CREOLE-FISH","1427","Creole-fish","Groupers"
"GRAYSBY","1428","Graysby","Groupers"
"CONEY","1429","Coney","Groupers"
"GROUPER, NASSAU","1430","Grouper,Nassau","Groupers"
"GRUNTS","1440","Grunts","Other marine finfishes"
"GRUNT, WHITE","1441","Grunt,White","Other marine finfishes"
"MARGATE","1442","Margate","Other marine finfishes"
"BLACK MARGATE","1443","Margate,Black","Other marine finfishes"
"GRUNT, BLUESTRIPED","1444","Grunt,Bluestriped","Other marine finfishes"
"GRUNT, FRENCH","1445","Grunt,French","Other marine finfishes"
"GRUNT, TOMTATE","1446","Grunt,Tomtate","Other marine finfishes"
"GRUNT, COTTONWICK","1447","Grunt,Cottonwick","Other marine finfishes"
"GRUNT, SPANISH","1448","Grunt,Spanish","Other marine finfishes"
"GRUNT, SMALLMOUTH","1449","Grunt,Smallmouth","Other marine finfishes"
"GRUNT, SAILORS CHOICE","1452","Grunt,Sailor's Choice","Other marine finfishes"
"GUNNELS","1460","Gunnels","Other marine finfishes"
"HADDOCK","1470","Haddock,Lg","Haddock"
"HADDOCK","1475","Haddock,Scrod","Haddock"
"HADDOCK","1476","Haddock,Snapper","Haddock"
"HADDOCK","1480","Haddock,Unc","Haddock"
"HADDOCK","1480","Haddock,Unc","Haddock"
"HAGFISHES","1500","Hagfish","Other marine finfishes"
"HAKE, RED","1520","Hake,At,Red","Hake, Red"
"HAKE, WHITE","1531","Hake,At,White,Sm","Hake, White"
"HAKE, WHITE","1531","Hake,At,White,Sm","Hake, White"
"HAKE, WHITE","1531","Hake,At,White,Sm","Hake, White"
"HAKE, WHITE","1534","Hake,At,White,Lg","Hake, White"
"HAKE, WHITE","1534","Hake,At,White,Lg","Hake, White"
"HAKE, WHITE","1535","Hake,At,White,Md","Hake, White"
"HAKE, WHITE","1535","Hake,At,White,Md","Hake, White"
"HAKE, WHITE","1540","Hake,At,White,Unc","Hake, White"
"HAKE, WHITE","1540","Hake,At,White,Unc","Hake, White"
"HAKE, WHITE","1540","Hake,At,White,Unc","Hake, White"
"HAKE, PACIFIC (WHITING)","1542","Hake,Pa(Whiting)","Hake, Pacific (whiting)"
"HAKE, ATLANTIC, RED/WHITE","1550","Hake,At,Red & White","Hake, White"
"HAKE, ATLANTIC, RED/WHITE","1550","Hake,At,Red & White","Hake, White"
"HAKE, ATLANTIC, RED/WHITE","1550","Hake,At,Red & White","Hake, White"
"HALFMOON","1560","Halfmoon","Other marine finfishes"
"HALIBUT, ATLANTIC","1588","Halibut,At,Unc.","Halibut"
"HALIBUT, PACIFIC","1589","Halibut,Pa","Halibut"
"HALIBUT, ATLANTIC/PACIFIC","1590","Halibut,At & Pa","Halibut"
"HALIBUT, ATLANTIC","1591","Halibut,At,Lg","Halibut"
"HALIBUT, ATLANTIC","1592","Halibut,At,Md","Halibut"
"HALIBUT, ATLANTIC","1593","Halibut,At,Sm","Halibut"
"HARVESTFISH","1650","Harvestfish,Lg","Other marine finfishes"
"HARVESTFISH","1653","Harvestfish,Md","Other marine finfishes"
"HARVESTFISH","1655","Harvestfish,Sm","Other marine finfishes"
"HARVESTFISH","1656","Harvestfish,Unc","Other marine finfishes"
"HERRING, ATLANTIC","1670","Herring,At,Sea","Herring, Atlantic"
"HERRING, PACIFIC","1676","Herring,Pa,Sea","Herring, Pacific"
"HERRING, LAKE OR CISCO","1681","Herring,Lake","Other freshwater finfishes"
"HERRING, ROUND","1683","Herring,Round","Other marine finfishes"
"HERRING, SEA","1685","Herring,Sea","Herring, Atlantic"
"HERRING, ATLANTIC THREAD","1687","Herring,Thread","Herring-Thread"
"HERRINGS","1689","Herrings,Unc","Herring, Atlantic"
"ARGENTINES","1710","Herring Smelt","Other marine finfishes"
"SHAD, HICKORY","1730","Hickory Shad","Shad, Hickory"
"HOGCHOKER","1760","Hogchoker","Other marine finfishes"
"HOGFISH","1790","Hogfish","Other marine finfishes"
"JACKS","1799","Jacks","Other marine finfishes"
"JACK, HORSE-EYE","1800","Jack,Horse-eye","Other marine finfishes"
"JACK, YELLOW","1803","Jack,Yellow","Other marine finfishes"
"JACK, BLACK","1805","Jack,Black","Other marine finfishes"
"POMPANO, AFRICAN","1807","African Pompano","Other marine finfishes"
"JACK, ALMACO","1810","Jack,Almaco","Other marine finfishes"
"JACK, BAR","1811","Bar Jack","Other marine finfishes"
"AMBERJACK, GREATER","1812","Amberjack,Greater","Other marine finfishes"
"RUNNER, RAINBOW","1814","Rainbow Runner","Other marine finfishes"
"AMBERJACK, LESSER","1815","Amberjack,Lesser","Other marine finfishes"
"RUDDERFISH, BANDED","1817","Banded Rudderfish","Other marine finfishes"
"JACK MACKEREL","1820","Jack Mackerel","Jack Mackerel"
"JACKKNIFE-FISH","1830","Jacknife Fish","Other marine finfishes"
"GROUPER, GOLIATH","1850","Jewfish","Groupers"
"DORY, AMERICAN JOHN","1880","John Dory","Other marine finfishes"
"MACKEREL, CERO","1938","Mackerel,Cero","Mackerel, King & Cero"
"MACKEREL, KING","1939","Mackerel,King","Mackerel, King & Cero"
"MACKEREL, KING AND CERO","1940","King Mackerel And Cero","Mackerel, King & Cero"
"KING WHITING","1970","King Whiting","Other marine finfishes"
"TROUT, LAKE","2000","Lake Trout","Other freshwater finfishes"
"LAMPREY, SEA","2030","Lamprey","Other marine finfishes"
"LAMPREY, PACIFIC","2031","Lamprey,Pa","Other marine finfishes"
"LANCETFISHES","2035","Lancetfishes","Other marine finfishes"
"LAUNCES","2060","Launces","Other marine finfishes"
"EMPERORS","2070","Emperors,Unc","Other marine finfishes"
"LINGCOD","2090","Lingcod","Lingcod"
"LOOKDOWN","2095","Lookdown","Other marine finfishes"
"LUMPFISH","2100","Lumpfish","Other marine finfishes"
"LOUVAR","2105","Louvar","Other marine finfishes"
"ATKA MACKEREL","2116","Mackerel,Atka","Atka Mackerel"
"MACKEREL, ATLANTIC","2120","Mackrel,At","Mackerel, Atlantic"
"MACKEREL, ATLANTIC","2120","Mackrel,At","Mackerel, Atlantic"
"MACKEREL, ATLANTIC","2120","Mackrel,At","Mackerel, Atlantic"
"MACKEREL, ATLANTIC","2120","Mackrel,At","Mackerel, Atlantic"
"MACKEREL, CHUB","2150","Mackerel,Pa","Mackerel, Chub"
"MACKEREL, BULLET","2151","Mackerel,Bullet","Other marine finfishes"
"SCAD, MACKEREL","2160","Mackerel,Scad","Other marine finfishes"
"MACKEREL (SCOMBER)","2162","Mackerel,Unc.","Other marine finfishes"
"MARLIN, BLACK","2174","Marlin, Black","Spearfishes (billfishes)"
"MARLIN, STRIPED","2176","Marlin,Striped,Pac.","Spearfishes (billfishes)"
"MARLIN, WHITE","2177","Marlin,White","Spearfishes (billfishes)"
"MARLIN, WHITE","2177","Marlin,White","Spearfishes (billfishes)"
"MARLIN, BLUE","2179","Marlin,Blue","Spearfishes (billfishes)"
"MARLIN, BLUE","2179","Marlin,Blue","Spearfishes (billfishes)"
"BILLFISHES","2180","Marlin,Unc","Spearfishes (billfishes)"
"BILLFISHES","2180","Marlin,Unc","Spearfishes (billfishes)"
"MENHADEN","2210","Menhaden,At & Gf","Menhaden"
"MENHADEN","2211","Menhaden,For Bait","Menhaden"
"MINNOW, SACRAMENTO SQUAWFISH","2227","Minnows,Squawfish, Sacro.","Other freshwater finfishes"
"MINNOW, HITCH","2228","Minnows,Hitch","Other freshwater finfishes"
"MINNOW, HARDHEAD","2229","Minnows,Hardhead","Other freshwater finfishes"
"CARPS AND MINNOWS","2230","Minnows","Other freshwater finfishes"
"MILKFISH","2240",,
"MOJARRAS","2250","Mojarras","Other marine finfishes"
"MOONEYES","2280","Mooneye","Other marine finfishes"
"MUDSUCKER, LONGJAW","2290","Mudsucker,Longjaw","Other marine finfishes"
"MOONFISH, ATLANTIC","2310","Moonfish","Other marine finfishes"
"MULLET, STRIPED (LIZA)","2341","Mullet,Striped","Mullets"
"MULLET, WHITE","2346","Mullets,Silver","Mullets"
"MULLETS","2347","Mullets,Black Or Silver","Mullets"
"MULLET, STRIPED (LIZA)","2348","Mullet with Roe Red","Mullets"
"MULLET, STRIPED (LIZA)","2349","Mullet with Roe White","Mullets"
"MUMMICHOG","2370","Mummichog","Other marine finfishes"
"REDFISH OR OCEAN PERCH","2400","Ocean Perch,At","Ocean Perch, Atlantic"
"REDFISH OR OCEAN PERCH","2400","Ocean Perch,At","Ocean Perch, Atlantic"
"REDFISH OR OCEAN PERCH","2400","Ocean Perch,At","Ocean Perch, Atlantic"
"ROCKFISH, PACIFIC OCEAN PERCH","2410","Ocean Perch,Pa","Ocean Perch, Pacific"
"ROSEFISH, BLACKBELLY","2420","Black Bellied Rosefish","Other marine finfishes"
"POUT, OCEAN","2500","Ocean Pout","Other marine finfishes"
"ESCOLAR","2501","Escolar","Other marine finfishes"
"OILFISH","2502","Oilfish","Other marine finfishes"
"OPAH","2503","Opah","Other marine finfishes"
"SNAKE MACKEREL","2504","Snake Mackerel","Other marine finfishes"
"OPALEYE","2505","Opaleye","Other marine finfishes"
"PADDLEFISH","2510","Paddlefish","Other freshwater finfishes"
"PARROTFISHES","2520","Parrotfish","Other marine finfishes"
"CRIMSON ROVER","2525","Crimson Rover","Other marine finfishes"
"SURFPERCHES","2530","Surfperch,Pa","Other marine finfishes"
"PERCH, SHINER","2531","Perch,Shiner","Other marine finfishes"
"SEAPERCH, STRIPED","2532","Seaperch,Striped","Other marine finfishes"
"PERCH, BLACK","2533","Perch,Black","Other marine finfishes"
"SURFPERCH, WALLEYE","2534","Surfperch,Walleye","Other marine finfishes"
"SURFPERCH, SILVER","2535","Surfperch,Silver","Other marine finfishes"
"SEAPERCH, WHITE","2536","Seaperch,White","Other marine finfishes"
"PERCH, PILE","2537","Perch,Nile","Other marine finfishes"
"SEAPERCH, RUBBERLIP","2538","Seaperch,Rubberlip","Other marine finfishes"
"SURFPERCH, REDTAIL","2539","Surfperch,Redtail","Other marine finfishes"
"SURFPERCH, BARRED","2540","Surfperch,Barred","Other marine finfishes"
"SURFPERCH, CALICO","2541","Seaperch,Calico","Other marine finfishes"
"SEAPERCH, RAINBOW","2542","Seaperch,Rainbow","Other marine finfishes"
"PERCH, DWARF","2543","Perch,Dwarf","Other marine finfishes"
"SEAPERCH, PINK","2544","Seaperch,Pink","Other marine finfishes"
"PERMIT","2550","Permit","Other marine finfishes"
"PIGFISH","2580","Pigfish","Other marine finfishes"
"PIKES","2610","Pikes Or Pickerels","Other freshwater finfishes"
"PILOTFISH","2640","Pilotfish","Other marine finfishes"
"PINFISH","2670","Pinfish","Other marine finfishes"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK","2690","Pollock,At","Pollock, Atlantic"
"POLLOCK, WALLEYE","2692","Pollock,Walleye(Alaska)","Pollock, Walleye (Alaska)"
"POLLOCK","2695","Pollock,At & Pa,Unc","Pollock, Atlantic"
"POMFRETS","2710","Pomfrets","Other marine finfishes"
"POMPANO, FLORIDA","2720","Pompano","Other marine finfishes"
